名前,種類,経度,緯度
九十九里ハーブガーデン,QRCode,140.442997545613,35.5462050854432
ギャラリー ＆ カフェ　船形倉庫,QRCode,139.843661796164,35.02585255998
御菓子処 扇屋,QRCode,140.0460618,35.7322956
御菓子司 麻布 菊園,QRCode,140.167047516808,35.641123442417
大川園千城台店,QRCode,140.189126848346,35.6228185436405
tronc,QRCode,139.900388396203,35.8582074621729
清本園本店,QRCode,140.114984702671,35.637474395047
猟師工房ドライブイン,QRCode,140.068995593009,35.1975294841567
水郷のとりやさん　須田本店,QRCode,140.6033162,35.8538222
オーシャンテーブル,QRCode,140.100274480848,35.6052932568205
あかり館＠雑貨konocono,QRCode,139.900248038531,35.858613184273
キレドベジタブルアトリエ,QRCode,140.17344998868,35.629704504264
吾妻庵本店,QRCode,140.549585080852,35.7012820745533
ペッシェアズーロ～青い魚～,QRCode,140.306738725019,35.4279303044151
市原湖畔美術館,GPS,140.160741,35.34938
道の駅　和田浦WA・O！,GPS,140.02065,35.042614
マザー牧場,GPS,139.940846264362,35.2476803489248
道の駅　ながら,GPS,140.20676,35.457305
道の駅　鴨川オーシャンパーク,GPS,140.077087,35.063957
鋸山ロープウェー,GPS,139.823255,35.162229
かつうら海中公園,GPS,140.284238755703,35.1351943189541
道の駅　オライはすぬま,GPS,140.501533,35.602271
道の駅　みのりの郷東金,GPS,140.383011,35.577405
北総花の丘公園,GPS,140.1234155,35.800029
道の駅　いちかわ,GPS,139.9201251,35.75003346
道の駅　あずの里いちはら,GPS,140.109671,35.463891
道の駅　ちくら潮風王国,GPS,139.951981465565,34.9297572815167
大多喜町観光本陣,GPS,140.244363801612,35.2870539745195
横芝駅前情報交流館「ヨリドコロ」,GPS,140.491806,35.661485
道の駅　ローズマリー公園,GPS,139.9753059,35.0087397
千葉県立東庄県民の森,GPS,140.675505,35.782386
千葉ポートタワー,GPS,140.097889576163,35.6004047113066
空の駅　風和里しばやま,GPS,140.395077,35.731172
芝山町立芝山古墳・はにわ博物館,GPS,140.428515,35.693999
オーエンス八千代市民ギャラリー,GPS,140.113406299752,35.7286358105806
そうさ観光物産センター　匝りの里,GPS,140.550947,35.699172
はちみつとミードのはちみつ工房,GPS,139.973305,35.309828
大山千枚田,GPS,139.9735258,35.1302044
チーバくんプラザ-千葉県観光情報館-,QRCode,139.935444635651,35.4356691535085
粟又の滝,GPS,140.183256268501,35.21981064306
釜屋（旧江澤邸）,GPS,140.246891,35.286361
千葉県立美術館,GPS,140.101033,35.601234
鵜原海岸（白い鳥居）,GPS,140.275343,35.136547
道の駅　富楽里とみやま,GPS,139.855269,35.100958
小中池公園,GPS,140.2874601,35.5153062
熊野の清水,GPS,140.242280960083,35.3450252700447
野見金公園,GPS,140.2095366,35.3669173
鴨川シーワールド,GPS,140.1200407,35.1155552
東京ドイツ村,GPS,140.054397583008,35.4058241244294
沖ノ島公園,GPS,139.824975,34.990529
道の駅　きょなん,GPS,139.836752,35.128089
十枝の森,GPS,140.359711,35.5001122
成田山新勝寺,GPS,140.318230390549,35.7859262711374
天保水滸伝遺品館/諏訪神社,GPS,140.6601444,35.8415627
観光・交流拠点施設「末廣農場」,GPS,140.336172,35.734999
八街市郷土資料館,GPS,140.307641,35.6563223
犬吠埼灯台,GPS,140.868437,35.708329
さわら町屋館（上川岸小公園）,GPS,140.498178,35.889599
千葉市動物公園,GPS,140.127608,35.645326
フォレストアドベンチャー・千葉,GPS,140.2273444,35.5778517
釣ヶ崎海岸,GPS,140.394458770752,35.3359933909251
長柄ダム,GPS,140.203234,35.477248
千葉ウシノヒロバ,GPS,140.246048,35.60366
道の駅　発酵の里こうざき,GPS,140.379123,35.900206
航空科学博物館,GPS,140.397798,35.740357
日蓮宗大本山　中山法華経寺,GPS,139.949254,35.720861
成田観光館,GPS,140.316439,35.783572
幕張メッセ,GPS,140.035528242588,35.6476857876465
海ほたるパーキングエリア,GPS,139.873675,35.464864
地球の丸く見える丘展望館,GPS,140.853624,35.706339
銚子ポートタワー,GPS,140.862908,35.740966
郷土資料館,GPS,140.049505233765,35.7115434658326
千葉県　酪農のさと,GPS,139.99,35.104474
成田ゆめ牧場,GPS,140.398997068405,35.8742462094462
千葉県立中央博物館,GPS,140.138426,35.599828
道の駅　白浜野島崎,GPS,139.877327,34.90628
道の駅　おおつの里花俱楽部,GPS,139.860376,35.05785
道の駅　とみうら枇杷倶楽部,GPS,139.837358266446,35.0376589220615
月の沙漠記念館,GPS,140.35781443119,35.1838097050635
水郷佐原山車会館,GPS,140.501326024532,35.8897954153767
八街市推奨の店　ぼっち,GPS,140.317693948746,35.6628713595321
しすい・ハーブガーデン,GPS,140.288336,35.709777
旭市防災資料館,GPS,140.710571,35.702994
誕生寺,GPS,140.198641419411,35.118280671644
袖ケ浦公園,GPS,139.9899884,35.4199405
富津公園,GPS,139.796813,35.312172
上永井公園（飯岡灯台、飯岡刑部岬展望館）,GPS,140.7399766,35.6932385
ウミガメの丘,GPS,140.405484,35.452551
マリンピアくりやまがわ,GPS,140.532474517822,35.6082197952998
千葉県立現代産業科学館,GPS,139.932941,35.714712
SHIRASE5002,GPS,139.9904996,35.6643048
清水渓流広場（濃溝の滝・亀岩の洞窟）,GPS,140.061124563217,35.1879133815359
香取神宮,GPS,140.528754,35.886035
長生観音,GPS,140.3919042,35.4129785
道の駅　たけゆらの里おおたき,GPS,140.258616,35.254914
道の駅 　風和里しばやま,GPS,140.410107,35.695086
ANIMAL WONDER REZOURT 市原ぞうの国,GPS,140.1822943,35.3542994
宮島池親水公園,GPS,140.425779,35.546619
佐倉ふるさと広場,GPS,140.201965,35.740742
尼ケ台総合公園,GPS,140.338074,35.421045
JAXA勝浦宇宙通信所,GPS,140.300989151001,35.2093359418813
史跡長柄横穴群,GPS,140.240263938904,35.4329632287462
原岡桟橋（岡本桟橋）,GPS,139.831162691116,35.044262491614
道の駅 南房パラダイス/アロハガーデンたてやま,GPS,139.8214507,34.93980274
小谷流の里 ドギーズアイランド,GPS,140.273320274474,35.6234865077758
白子神社,GPS,140.371515154839,35.4598703485502
道の駅　木更津うまくたの里,GPS,140.05244,35.360161
鋸山 日本寺（地獄のぞき）,GPS,139.833190441132,35.1592666233744
野島埼灯台,GPS,139.888311,34.901839
大福寺（崖観音）,GPS,139.8411633,35.03094131
菱川師宣記念館,GPS,139.836345,35.128201
源頼朝上陸地,GPS,139.82864,35.118166
茂原公園,GPS,140.282037,35.43063
チバニアンビジターセンター,GPS,140.148418,35.296565
伊能忠敬記念館,GPS,140.497216,35.888384
鳥居崎海浜公園,GPS,139.913244,35.382114
道の駅　むつざわつどいの郷,GPS,140.302749,35.353599
道の駅　三芳村鄙の里,GPS,139.894864,35.034171
都市交流施設・道の駅 保田小学校,GPS,139.84398903558,35.143222615745
浦安市郷土博物館,GPS,139.901217,35.655228
道の駅　季楽里あさひ,GPS,140.675568,35.717764
牛匠しらいし,QRCode,139.921579980834,35.3176354761211
郷土料理・割烹　天平,QRCode,140.3144371422,35.1499802698887
中華レストラン　みろべー,QRCode,140.138871738525,35.7177129314484
海の駅　九十九里,QRCode,140.457262256283,35.5386795826097
隠れ屋敷　典膳（てんぜん）,QRCode,139.952092994316,35.0791151738195
鉄板ダイニング楽今,QRCode,140.61772266551,35.7173713926622
シーフードレストランうおっせ,QRCode,140.863707494,35.7406334106745
イタリアンキッチンボーノ本八幡店,QRCode,139.925851725032,35.7223024679369
ごちそう中華OKIYAMA,QRCode,140.418775947444,35.4834000740046
アマンダンセイル,QRCode,140.09987435804,35.6054051582038
飯沼本家 きのえね　まがり家,QRCode,140.271842296196,35.7091409952764
A.Y’s kitchen,QRCode,140.279145356084,35.525151963025
くろいちごcafé　浦部農園　茂原,QRCode,140.333164267349,35.4748671922486
レストラン　ロス・アンジェルス,QRCode,140.117396092494,35.7144238423598
PIZZERIA BOSSO,QRCode,140.160215552,35.349868238198
宿と食事　ローブン大多喜町,QRCode,140.24584156734,35.2820980684212
和食処　清恵,QRCode,140.167821720385,35.2495102294379
石窯ピッツァ＆カフェbamboo,QRCode,140.228628919025,35.7039761875565
Cafe&Diner BAHAMA,QRCode,139.918131845675,35.7389335880701
野見金山展望カフェミハラシテラス,QRCode,140.209979969195,35.367691390479
かね八寿し,QRCode,140.356326280828,35.1859392435587
街のピザ屋　コンパーレ　コマーレ,QRCode,139.982586996195,35.6965389476619
上総国一之宮　玉前神社,GPS,140.360469818115,35.3761652549308
多古町魅力発信交流館「たこらぼ」,GPS,140.468106865883,35.7322914370426
八鶴湖,GPS,140.357283395715,35.5610430568696
雄蛇ヶ池,GPS,140.333046913147,35.5628662061914
伊能忠敬記念公園（伊能忠敬出生地）,GPS,140.4330188,35.5513667
掩体壕,GPS,140.3185145,35.4521517
旧大塚家住宅,GPS,139.892709,35.66165853
旧宇田川家住宅,GPS,139.8921775,35.6617701
旧岩崎久彌末廣農場別邸公園,GPS,140.337661,35.735163
福聚寺,GPS,140.675606,35.784828
渚の駅たてやま,GPS,139.854799,34.989632
道の駅・川の駅　水の郷さわら,GPS,140.506736,35.895825
飯高檀林跡（飯高寺）,GPS,140.529341697693,35.7444224023038
遠見岬神社,GPS,140.315432,35.146845
千葉工業大学通用門（旧陸軍鉄道第二聯隊表門）,GPS,140.0218537,35.689721
市原歴史博物館,GPS,140.129268913095,35.5048567832587
道の駅　くりもと紅小町の郷,GPS,140.470105,35.805996
正岡子規の句碑,GPS,140.10369388879,35.7193900334707
養老渓谷,GPS,140.1711992,35.2416062
フォレストアドベンチャー・ターザニア,GPS,140.248416,35.476485
袖ケ浦海浜公園,GPS,139.9537395,35.4555902
八剱八幡神社,GPS,139.923463,35.381191
茜浜緑地（関東富士見百景）,GPS,139.999959036382,35.6560953199134
太東埼灯台,GPS,140.4129307,35.3081287
万木城跡公園,GPS,140.3259204,35.2979482
空の駅 さくら館,GPS,140.362499,35.775625
成田からくり時計,GPS,140.3150594,35.7775839
太東海水浴場,GPS,140.399731993675,35.3293851267349
八幡岬と丹ヶ浦,GPS,140.405021309853,35.2493867039919
道の駅グリーンファーム館山,GPS,139.906717836857,35.0004657558402
とん亭 九十九,QRCode,140.523674996191,35.6092975345084
波奈総本店,QRCode,139.861527567327,34.993326094015
米舞亭,QRCode,140.02930028086,35.861276954091
そば吉左右　更科,QRCode,140.199530134221,35.6036330042784
ふれあいパーク八日市場　里の香,QRCode,140.558126080854,35.7403994634499
管理栄養士のビストロEIZEN,QRCode,139.901369740382,35.8578890448114
観光・交流拠点施設「末廣農場」レストラン,QRCode,140.336590720795,35.7352948741063
Le Cafe de Pomme,QRCode,139.994426134315,35.6911353769401
高滝ダム記念館レストラン,QRCode,140.143859980836,35.3580930213978
川村商店,QRCode,140.148317436679,35.8394735266968
SEATIMES,QRCode,140.386588726867,35.3728625808596
スパ＆リゾート　九十九里太陽の里,QRCode,140.392076409675,35.415491821545
（有）金田屋,QRCode,140.235990580859,35.8422386127194
暮らしの間,QRCode,140.429429367362,35.7593938970767
Sghr 菅原工芸硝子,QRCode,140.3963412,35.5281156
太陽ファームキッチン＆カフェ,QRCode,140.208152911528,35.4696607452097
ホテルミラマーレ　中国料理 景山,QRCode,140.118290421983,35.6075189534354
休暇村館山,QRCode,139.79228743194,34.9734961651696
ぷりん屋きずな,QRCode,140.015001294347,35.7621959146652
焼菓子屋fossette⁺,QRCode,139.900139382801,35.8513647101223
あぶらや,QRCode,140.469079080854,35.73174786683
万心旬菜　いなよし,QRCode,140.665814499904,35.8390020226567
白鳥丸,QRCode,140.349781926858,35.1826834749887
ベジバル チバットリア,QRCode,139.921147123179,35.6805523883518
創作洋菓子モンペリエ,QRCode,139.906934196197,35.7279628755228
鋸南麦酒,QRCode,139.836761447332,35.1283109967062
上町　菊屋,QRCode,140.316404294348,35.7815030372281
野菜レストランSHONAN,QRCode,140.02280968086,35.8583642801836
天然温泉湯舞音袖ケ浦店,QRCode,139.955293759407,35.4322294617374
船橋市総合教育センター　プラネタリウム館,GPS,140.005500912666,35.7076362849708
成田山御本尊上陸聖地,GPS,140.555079,35.625564
成田国際空港,GPS,140.382662415504,35.7699924030801
Ｋ‐Ｆａｒｍ,QRCode,139.976582026885,35.7557686514583
ラーメン＆BAR963,QRCode,139.984247753867,35.698599755817
懐石料理　かんざ,QRCode,139.889503423193,35.9654020795791
酒楽場 ごうにい,QRCode,139.987405998349,35.6986633547103
木更津kisara,QRCode,139.932289715228,35.4348557199015
麺処霧笛,QRCode,139.959961007824,35.4240564431117
ピーターパン 石窯パン工房店,QRCode,139.977242553912,35.7088154474059
保田漁協ばんや,QRCode,139.839287249565,35.1317302870018
川豊本店,QRCode,140.316704538528,35.7835620441602
悠久,QRCode,140.33374395571,35.5330965673399
佐倉市役所食堂,QRCode,140.223988453868,35.7237077258603
たてやま温泉　千里の風,QRCode,139.825828453832,34.9358372453492
海の湯宿　花しぶき,QRCode,139.813570767326,34.9778063554347
ホテルオークラ東京ベイ　レストラン フォンタナ,QRCode,139.876336140371,35.6263612916565
郷土料理　たけのこ,QRCode,140.238871632347,35.2411316974001
鈴木大地記念碑,GPS,140.01137,35.666897
仁右衛門島,GPS,140.102127,35.077633
鹿野山九十九谷展望公園・広場,GPS,139.972472190857,35.2541134923577
房州屋本店,QRCode,140.227291389848,35.7191500399742
木琴堂,QRCode,139.88253682316,35.256981072727
炭火焼肉　樹苑,QRCode,140.536388996192,35.6327500147948
洋食屋 かわごえ,QRCode,140.394063716741,35.4303598386479
大衆中華 ホサナ,QRCode,139.992077682691,35.4427188098459
下町　丸竹都寿司,QRCode,140.315555171036,35.1480989263106
浦安市三番瀬環境観察館,GPS,139.9363413,35.64313904
とんかつ屋 みやはん,QRCode,139.956306669175,34.9357669364974
伊勢えび・あわびが専門の宿大野荘,QRCode,140.358374767336,35.185549381586
古舎カフェ 灯環,QRCode,139.899765738531,35.8540540731076
おばこや,QRCode,140.508016416813,35.6574719708784
隠れ家すずめ,QRCode,140.565788640372,35.6379292040387
なごみの米屋 總本店,QRCode,140.315995528737,35.7819951739448
なごみの米屋　門前店,QRCode,140.319958409692,35.78291374558
なごみの米屋　JR成田駅前店,QRCode,140.314210411543,35.7775067276752
館山城・城山公園,GPS,139.855992,34.981366
里のMUJI みんなみの里,GPS,140.015477,35.128201
海鮮和食仲々安食店,QRCode,140.244459562901,35.8405514298885
Patisserie Rico,QRCode,139.988226096196,35.7066611484384
みんなのらぁめんBAMBU,QRCode,140.461991188003,35.7379113991186
フェアトレードカフェ＆ショップ,QRCode,140.265264817543,35.5214782591799
ほっこりごはん　くるり,QRCode,140.510098511535,35.6240895086949
鮨と肴おどる魚,QRCode,139.959243411539,35.7086541552155
鮨どころ　大和,QRCode,140.459554655715,35.63813844521
カフェ＆リストランテとっチーノ,QRCode,140.383048404129,35.5775566340515
日本料理　竹りん,QRCode,140.30071218269,35.422105346355
おしゃれ旬鮨　海の花,QRCode,139.861538367327,34.9951606325313
蔵の図書館,GPS,140.196393,35.644025
磯山観光いちご園,QRCode,140.670242526889,35.8353048349247
穴太商店,QRCode,139.946899711521,35.3072414585713
いっきゅう funabashi,QRCode,139.986937099908,35.7023115171024
居酒屋　一九,QRCode,139.959783138524,35.7086971381754
酒場　フナバシ屋,QRCode,139.958895484554,35.7095086339181
クラフトビール　船橋ビール醸造所,QRCode,139.9603297,35.707501
我孫子フレンチレストラン　テガーレ,QRCode,140.020922853875,35.8660874686919
九十九里町観光オブジェ,GPS,140.451029098208,35.5276097057564
八平の食堂,QRCode,140.224592696184,35.4536656890698
方宝　たつみ,QRCode,140.712199958347,35.8031723498195
